meta
OTHER:All-(0,100]-DIS_A1:Aamadosha
OTHER:F-(0,100]-DIS_A1:Aamadosha
OTHER:M-(0,100]-DIS_A1:Aamadosha
OTHER:F-(30,40]-DIS_A1:Aamadosha
OTHER:F-(60,70]-DIS_A1:Aamadosha
OTHER:M-(40,50]-DIS_A1:Aamadosha
OTHER:F-(40,50]-DIS_A1:Aamadosha
OTHER:M-(30,40]-DIS_A1:Aamadosha
OTHER:F-(50,60]-DIS_A1:Aamadosha
OTHER:All-NA-DIS_A10:Arochaka
OTHER:F-NA-DIS_A10:Arochaka
OTHER:All-(0,100]-DIS_A11:Arshas
OTHER:F-(0,100]-DIS_A11:Arshas
OTHER:M-(0,100]-DIS_A11:Arshas
OTHER:F-(40,50]-DIS_A11:Arshas
OTHER:M-(30,40]-DIS_A11:Arshas
OTHER:M-(40,50]-DIS_A11:Arshas
OTHER:F-(20,30]-DIS_A11:Arshas
OTHER:F-(30,40]-DIS_A11:Arshas
OTHER:F-(60,70]-DIS_A11:Arshas
OTHER:M-(50,60]-DIS_A11:Arshas
OTHER:F-(50,60]-DIS_A11:Arshas
OTHER:M-(60,70]-DIS_A11:Arshas
OTHER:M-(20,30]-DIS_A11:Arshas
OTHER:F-(70,80]-DIS_A11:Arshas
OTHER:M-(80,90]-DIS_A11:Arshas
OTHER:All-(0,100]-DIS_A12:Artava Vyapad
OTHER:F-(0,100]-DIS_A12:Artava Vyapad
OTHER:M-(0,100]-DIS_A12:Artava Vyapad
OTHER:F-(30,40]-DIS_A12:Artava Vyapad
OTHER:F-(20,30]-DIS_A12:Artava Vyapad
OTHER:F-(10,20]-DIS_A12:Artava Vyapad
OTHER:F-(40,50]-DIS_A12:Artava Vyapad
OTHER:F-(50,60]-DIS_A12:Artava Vyapad
OTHER:M-(50,60]-DIS_A12:Artava Vyapad
OTHER:All-(0,100]-DIS_A13:Ashmaree
OTHER:F-(0,100]-DIS_A13:Ashmaree
OTHER:M-(0,100]-DIS_A13:Ashmaree
OTHER:F-(30,40]-DIS_A13:Ashmaree
OTHER:M-(40,50]-DIS_A13:Ashmaree
OTHER:M-(30,40]-DIS_A13:Ashmaree
OTHER:F-(60,70]-DIS_A13:Ashmaree
OTHER:M-(60,70]-DIS_A13:Ashmaree
OTHER:M-(10,20]-DIS_A13:Ashmaree
OTHER:M-(50,60]-DIS_A13:Ashmaree
OTHER:F-(20,30]-DIS_A13:Ashmaree
OTHER:F-(40,50]-DIS_A13:Ashmaree
OTHER:M-(20,30]-DIS_A13:Ashmaree
OTHER:F-(10,20]-DIS_A13:Ashmaree
OTHER:F-(50,60]-DIS_A13:Ashmaree
OTHER:All-(0,100]-DIS_A14:Asragdhara
OTHER:F-(0,100]-DIS_A14:Asragdhara
OTHER:F-(40,50]-DIS_A14:Asragdhara
OTHER:All-NA-DIS_A15:Atatvaabhinivesha
OTHER:F-NA-DIS_A15:Atatvaabhinivesha
OTHER:All-(0,100]-DIS_A16:Atisaara
OTHER:F-(0,100]-DIS_A16:Atisaara
OTHER:M-(0,100]-DIS_A16:Atisaara
OTHER:F-(40,50]-DIS_A16:Atisaara
OTHER:M-(40,50]-DIS_A16:Atisaara
OTHER:F-(50,60]-DIS_A16:Atisaara
OTHER:M-(60,70]-DIS_A16:Atisaara
OTHER:F-(60,70]-DIS_A16:Atisaara
OTHER:M-(30,40]-DIS_A16:Atisaara
OTHER:M-(50,60]-DIS_A16:Atisaara
OTHER:F-(20,30]-DIS_A16:Atisaara
OTHER:M-(20,30]-DIS_A16:Atisaara
OTHER:F-(30,40]-DIS_A16:Atisaara
OTHER:F-(10,20]-DIS_A16:Atisaara
OTHER:F-(0,10]-DIS_A16:Atisaara
OTHER:M-(10,20]-DIS_A16:Atisaara
OTHER:All-(0,100]-DIS_A17:Aatopa
OTHER:All-NA-DIS_A17:Aatopa
OTHER:F-(0,100]-DIS_A17:Aatopa
OTHER:M-NA-DIS_A17:Aatopa
OTHER:F-(30,40]-DIS_A17:Aatopa
RMSD:All-(0,100]-DIS_A2:Aamavaata
RMSD:F-(0,100]-DIS_A2:Aamavaata
RMSD:M-(0,100]-DIS_A2:Aamavaata
RMSD:F-(40,50]-DIS_A2:Aamavaata
RMSD:F-(30,40]-DIS_A2:Aamavaata
RMSD:F-(50,60]-DIS_A2:Aamavaata
RMSD:F-(60,70]-DIS_A2:Aamavaata
RMSD:M-(30,40]-DIS_A2:Aamavaata
RMSD:F-(10,20]-DIS_A2:Aamavaata
RMSD:M-(60,70]-DIS_A2:Aamavaata
RMSD:F-(20,30]-DIS_A2:Aamavaata
RMSD:F-(70,80]-DIS_A2:Aamavaata
RMSD:M-(20,30]-DIS_A2:Aamavaata
RMSD:M-(10,20]-DIS_A2:Aamavaata
RMSD:M-(50,60]-DIS_A2:Aamavaata
RMSD:M-(40,50]-DIS_A2:Aamavaata
RMSD:M-(80,90]-DIS_A2:Aamavaata
RMSD:M-(70,80]-DIS_A2:Aamavaata
RMSD:F-(80,90]-DIS_A2:Aamavaata
RMSD:F-(0,10]-DIS_A2:Aamavaata
RMSD:M-(0,10]-DIS_A2:Aamavaata
RMSD:All-(0,100]-DIS_A3:Abhighataja Shoola
RMSD:M-(0,100]-DIS_A3:Abhighataja Shoola
RMSD:F-(0,100]-DIS_A3:Abhighataja Shoola
RMSD:M-(20,30]-DIS_A3:Abhighataja Shoola
RMSD:M-(50,60]-DIS_A3:Abhighataja Shoola
RMSD:M-(40,50]-DIS_A3:Abhighataja Shoola
RMSD:F-(40,50]-DIS_A3:Abhighataja Shoola
RMSD:F-(60,70]-DIS_A3:Abhighataja Shoola
RMSD:M-(30,40]-DIS_A3:Abhighataja Shoola
RMSD:F-(50,60]-DIS_A3:Abhighataja Shoola
RMSD:F-(20,30]-DIS_A3:Abhighataja Shoola
RMSD:M-(10,20]-DIS_A3:Abhighataja Shoola
RMSD:F-(30,40]-DIS_A3:Abhighataja Shoola
RMSD:M-(60,70]-DIS_A3:Abhighataja Shoola
RMSD:F-(10,20]-DIS_A3:Abhighataja Shoola
RMSD:F-(0,10]-DIS_A3:Abhighataja Shoola
RMSD:M-(0,10]-DIS_A3:Abhighataja Shoola
RMSD:M-(70,80]-DIS_A3:Abhighataja Shoola
RMSD:M-(80,90]-DIS_A3:Abhighataja Shoola
RMSD:F-(70,80]-DIS_A3:Abhighataja Shoola
RMSD:F-(80,90]-DIS_A3:Abhighataja Shoola
RMSD:F-(90,100]-DIS_A3:Abhighataja Shoola
OTHER:All-(0,100]-DIS_A4:Agnimaandya
OTHER:M-(0,100]-DIS_A4:Agnimaandya
OTHER:F-(0,100]-DIS_A4:Agnimaandya
OTHER:M-(70,80]-DIS_A4:Agnimaandya
OTHER:F-(30,40]-DIS_A4:Agnimaandya
OTHER:M-(40,50]-DIS_A4:Agnimaandya
OTHER:M-(30,40]-DIS_A4:Agnimaandya
OTHER:F-(20,30]-DIS_A4:Agnimaandya
OTHER:F-(40,50]-DIS_A4:Agnimaandya
OTHER:F-(50,60]-DIS_A4:Agnimaandya
OTHER:M-(50,60]-DIS_A4:Agnimaandya
OTHER:F-(10,20]-DIS_A4:Agnimaandya
OTHER:F-(60,70]-DIS_A4:Agnimaandya
OTHER:All-(0,100]-DIS_A5:Ajeerna
OTHER:F-(0,100]-DIS_A5:Ajeerna
OTHER:M-(0,100]-DIS_A5:Ajeerna
OTHER:F-(70,80]-DIS_A5:Ajeerna
OTHER:M-(40,50]-DIS_A5:Ajeerna
OTHER:F-(50,60]-DIS_A5:Ajeerna
