season,Code,description,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017
04 Sharad Rutu,S2.25.2,Shiroroga - Vaataja Shiroroga - Shirahshoola,,,,,,1,,
04 Sharad Rutu,S2.4,Shiroroga - Shankha Shoola,,,,,1,,,
04 Sharad Rutu,S2.5,Shiroroga - Shira Abhihata,,,,,,,,1
04 Sharad Rutu,S3.0,Shotha,,,5,3,4,5,7,5
04 Sharad Rutu,S3.3,Shrama,,,3,,3,5,6,3
04 Sharad Rutu,S4.0,Shvaasa,,,2,6,13,22,25,10
04 Sharad Rutu,S4.4,Shvaasa-tamaka shvasa,,,1,2,1,,,
04 Sharad Rutu,S5.0,Shvitra,,,,1,2,2,5,1
04 Sharad Rutu,S8.0,Snaayuka,,,1,,,,,
04 Sharad Rutu,U1.0,Udaavarta,,1,2,,1,,2,1
04 Sharad Rutu,U2.0,Udara,,,,1,1,,,
04 Sharad Rutu,U2.3,Udara- vata,,,,,,,,1
04 Sharad Rutu,U2.4,Udara- yakrut-pleeha,,,,,,2,1,
04 Sharad Rutu,U2.6,Udara-jalodara,,,,,,,1,1
04 Sharad Rutu,U3.0,Udarda,,,1,,,,1,2
04 Sharad Rutu,U4.0,Unmaada,,,,3,1,,,1
04 Sharad Rutu,U4.7,Unmaada - Manokhedaja,,,1,,,,,1
04 Sharad Rutu,V.10,Vatavyadhi - Avrita Vata,,,,,,,,1
04 Sharad Rutu,V1.0,Vaatarakta,,1,6,13,20,49,36,30
04 Sharad Rutu,V1.2,Vaatarakta - Gambheera,,,,1,,1,,1
04 Sharad Rutu,V1.3,Vaatarakta - Kapha Vaataja,,,,,1,,,
04 Sharad Rutu,V1.5,Vaatarakta - Pittaadhika Vaatarakta,,,,,,,1,
04 Sharad Rutu,V1.7,Vaatarakta - Uttaana,,,,,1,,,
04 Sharad Rutu,V1.8,Vaatarakta - Vaata Kaphaja,,,,,1,,,
04 Sharad Rutu,V1.9,Vaatarakta - Vaataadhika Vaatarakta,,,,,,,,1
04 Sharad Rutu,V10.11,Vatavyadhi - Avrita Vata - Mamsavrita Vata,,,,,,,,1
04 Sharad Rutu,V10.24,Vatavyadhi - Avrita Vata - Raktavrita Vata,,,,,,,,1
04 Sharad Rutu,V11.7,Vatavyadhi - Gatatva  - Sandhigata Vata,,,,,,,1,2
04 Sharad Rutu,V13.0,Vrana,,,2,1,2,4,,
04 Sharad Rutu,V13.1.0,Vrana - Aagantuja (Sadyo) Vrana,,,1,,,,,
04 Sharad Rutu,V13.1.3,Vrana - Aagantuja (Sadyo) Vrana - Dagdha Vrana,,,,,1,,,
04 Sharad Rutu,V13.3,Vrana - Dushta Vrana,,,2,1,3,1,3,6
04 Sharad Rutu,V15.1,Vriddhi - Aantraja,,,1,,,,1,1
04 Sharad Rutu,V16.0,Vrikka Roga,,,1,1,7,7,17,4
04 Sharad Rutu,V2.0,Vaatavyaadhi,,1,91,166,202,119,52,78
04 Sharad Rutu,V2.10,Vaatavyaadhi - Avabaahuka,,2,18,26,54,67,83,44
04 Sharad Rutu,V2.15,Vaatavyaadhi - Baadhirya,,,1,,,1,,
04 Sharad Rutu,V2.16,Vaatavyaadhi - Baahugata Vaata,,,,1,,1,,
04 Sharad Rutu,V2.2,Vaatavyaadhi - Aadhmaana,,,,6,7,4,9,3
04 Sharad Rutu,V2.23,Vaatavyaadhi - Gridhrasee,1,1,47,89,145,182,199,177
04 Sharad Rutu,V2.24,Vaatavyaadhi - Gudasthita Vaata,,,1,,,1,,
04 Sharad Rutu,V2.3.1,Vaatavyaadhi - Aakshepaka - Abhighaataja,,,,1,,,,
04 Sharad Rutu,V2.30,Vaatavyaadhi - Jaanugata Vaata,,,6,1,10,,,
04 Sharad Rutu,V2.31,Vaatavyaadhi - Janghaagata Vaata,,,2,,2,,,
04 Sharad Rutu,V2.34.0,Vaatavyaadhi - Kampa,,,,4,6,16,12,12
04 Sharad Rutu,V2.34.1,Vaatavyaadhi - Kampa - Baahu Kampa,,,1,,,,,
04 Sharad Rutu,V2.34.2,Vaatavyaadhi - Kampa - Greevaa Kampa,,,,,1,,,
04 Sharad Rutu,V2.36,Vaatavyaadhi - Kateegata Vaata,,1,34,10,12,6,3,5
04 Sharad Rutu,V2.38,Vaatavyaadhi - Khanja,,,,,3,,,2
04 Sharad Rutu,V2.4.1,Vaatavyaadhi - Aavritavaata - Kaphaavrita Vaata,,,,,,,,3
04 Sharad Rutu,V2.40,Vaatavyaadhi - Kroshtukasheersha,,,,,,1,,
04 Sharad Rutu,V2.42,Vaatavyaadhi - Maamsagata Vaata,,,6,4,,2,1,
04 Sharad Rutu,V2.43,Vaatavyaadhi - Maamsamedogata Vaata,,,1,,,,,
04 Sharad Rutu,V2.44,Vaatavyaadhi - Majjaagata Vaata,,,,,,1,1,
04 Sharad Rutu,V2.45,Vaatavyaadhi - Majjaasthigata Vaata,,,,,,,1,
04 Sharad Rutu,V2.46,Vaatavyaadhi - Manyaagata Vaata,,,,,,,1,
04 Sharad Rutu,V2.47,Vaatavyaadhi - Manyaastambha,,,1,,1,4,1,
04 Sharad Rutu,V2.49,Vaatavyaadhi - Minmin,,,1,,,,,
04 Sharad Rutu,V2.51,Vaatavyaadhi - Naanaatmaja,,,1,,,,,
04 Sharad Rutu,V2.53,Vaatavyaadhi - Paadadaaha,,,,,,,2,1
04 Sharad Rutu,V2.56,Vaatavyaadhi - Pakvaashayasthita Vaata,,,,,,1,1,
04 Sharad Rutu,V2.56.0,Vaatavyaadhi - Pakshavadha,,,10,7,17,11,13,7
04 Sharad Rutu,V2.57,Vaatavyaadhi - Pangutva,,,1,,1,,1,
04 Sharad Rutu,V2.61,Vaatavyaadhi - Prishthagata Vaata,,,,1,1,,,
04 Sharad Rutu,V2.63,Vaatavyaadhi - Sandhigata Vaata,1,5,147,69,226,243,270,230
04 Sharad Rutu,V2.64,Vaatavyaadhi - Sarvaangagata Vaata,,,2,,3,1,1,
04 Sharad Rutu,V2.65,Vaatavyaadhi - Shaakhaagata Vaata,,,,,1,,,
04 Sharad Rutu,V2.68,Vaatavyaadhi - Siraagata Vaata,,,7,1,1,1,1,2
04 Sharad Rutu,V2.7,Vaatavyaadhi - Ardita,,,1,,1,2,,
04 Sharad Rutu,V2.70,Vaatavyaadhi - Snaayugata Vaata,,,1,,1,,3,1
04 Sharad Rutu,V2.71,Vaatavyaadhi - Toonee,,,,,,1,,
04 Sharad Rutu,V2.72,Vaatavyaadhi - Trikgata Vaata,,,,,,,1,
04 Sharad Rutu,V2.74,Vaatavyaadhi - Urugata Vaata,,,,,,1,,
04 Sharad Rutu,V2.75,Vaatavyaadhi - Vaatakantaka,,,5,2,5,2,12,12
04 Sharad Rutu,V2.77,Vaatavyaadhi - Vishvaachee,,,3,,2,2,7,5
04 Sharad Rutu,V2.8,Vaatavyaadhi - Ashtheelaa,,,,,2,1,,
04 Sharad Rutu,V2.9,Vaatavyaadhi - Asthigata Vaata,,,9,29,8,6,4,1
04 Sharad Rutu,V3.0,Vandhyatava,,,,,,,,2
04 Sharad Rutu,V3.1,Vandhyatava - Kaka Vandya,,,,,,,2,
04 Sharad Rutu,V3.2,Vandhyatava - Vandya,,,1,,,,1,
04 Sharad Rutu,V3.3,VANDHYATWA - ANAPATYA,,,,,,,1,3
04 Sharad Rutu,V5.0,Vibandha,,,,,,,7,3
04 Sharad Rutu,V5.1,Vibandha - Mala Vibandha,,,3,2,4,8,4,4
04 Sharad Rutu,V6.0,Vidradhi,,,1,,,,,2
04 Sharad Rutu,V6.11,Vidradhi - Majjajaata,,,,,,,,1
04 Sharad Rutu,V6.3,Vidradhi - Baahya,,,1,,,,,
04 Sharad Rutu,V9.0,Visarpa,,,,1,3,,1,
04 Sharad Rutu,Y1,Yakrit Dosha,,,3,3,5,5,1,4
04 Sharad Rutu,Y8.10,Yonivyaapad - Karninee,,,2,,,,,
04 Sharad Rutu,Y8.13,Yonivyaapad - Pariplutaa,,,,,,,3,
04 Sharad Rutu,Y8.22,Yonivyaapad - Sramsinee,,,,,,,1,1
04 Sharad Rutu,k12.0,Kushtha,,,5,14,18,14,14,5
04 Sharad Rutu,k12.10,Kushtha-mandala,,,,,,,,1
04 Sharad Rutu,k12.12,Kushtha-pundarika,,,1,,,,,
04 Sharad Rutu,k12.15,Kushtha-sidhma,,,,,,,1,
04 Sharad Rutu,k12.16,Kushtha-vicharchika,,,3,,,1,,1
04 Sharad Rutu,k12.17,Kushtha-vipadika,,,2,,,1,,2
04 Sharad Rutu,k12.18,Kushtha-visphotaka,,,,,,,,1
04 Sharad Rutu,k12.2,Kushtha-Audumbara,,,,,1,,,
04 Sharad Rutu,k12.5,Kushtha-dadru,,,,,,7,1,
04 Sharad Rutu,k12.6,Kushtha-ekakushta,,,,,,,1,1
04 Sharad Rutu,k12.9,Kushtha-kitibha,,,3,1,1,4,3,2
04 Sharad Rutu,k8.0,Kshaya,,,1,,2,,1,
04 Sharad Rutu,sandhigata vaa,,,,,,,,,1
05 Hemant Rutu,A1.0,Aamadosha,,,1,2,,1,,
05 Hemant Rutu,A11.0,Arshas,,,2,7,6,8,5,
05 Hemant Rutu,A11.1,Arsha - Charmakeela,,,,,,,1,
05 Hemant Rutu,A11.10,Arsha - Raktaja Arsha,,,,,,1,,
05 Hemant Rutu,A11.16,Arsha - Vaataja Arsha,,,,,,1,,
05 Hemant Rutu,A11.17,Arsha - Vaatapittaja Arsha,,,,1,,,,
05 Hemant Rutu,A12.0,Artava Vyapad,,,2,1,1,10,3,
05 Hemant Rutu,A12.1,Artava Vyapad - Anartava,,,1,4,,1,2,
05 Hemant Rutu,A12.10,Artava Vyapad - Artava Kshaya,,,,,,,9,
05 Hemant Rutu,A12.11,ARTAVA VYAPAD - Pushpaghni Jataharini,,,,,,,6,
05 Hemant Rutu,A12.4,Artava Vyapad - Ksheenartava,,,1,,,,,
05 Hemant Rutu,A12.7,Artava Vyapad - Pittaja,,,1,,,,,
05 Hemant Rutu,A12.9,Artava Vyapad - Vataja,,,,,1,,,
05 Hemant Rutu,A13.0,Ashmaree,,,,4,3,4,3,
05 Hemant Rutu,A13.2,Ashmaree - Pittaja,,,,,1,3,,
05 Hemant Rutu,A13.3,Ashmaree - Pittaja - Shoola,,,,,,1,,
05 Hemant Rutu,A14.0,Asragdhara,,,,,1,,,
05 Hemant Rutu,A16.0,Atisaara,,,1,3,2,1,2,
05 Hemant Rutu,A16.6,Atisaara-Vata,,,,1,,,,
05 Hemant Rutu,A17.0,Aatopa,,,,1,,,,
05 Hemant Rutu,A2.0,Aamavaata,,,21,54,59,69,63,
05 Hemant Rutu,A2.1,Aamavaata - Kaphaja,,,2,,1,2,2,
05 Hemant Rutu,A2.2,Aamavaata - Pittaja,,,1,1,,1,,
05 Hemant Rutu,A2.3,Aamavaata - Vaataja,,1,,,,,,
05 Hemant Rutu,A3.0,Abhighataja Shoola,,,15,13,32,27,40,
05 Hemant Rutu,A4.0,Agnimaandya,,,1,,2,1,1,
05 Hemant Rutu,A5.0,Ajeerna,,,2,3,1,3,5,
05 Hemant Rutu,A5.1,Ajeerna- vidagdhajeerna,,,,1,,1,,
05 Hemant Rutu,A6.0,Amlapitta,,,15,26,27,27,36,
05 Hemant Rutu,A6.2,Amlapitta-Urdhwaga,,,4,4,4,6,7,
05 Hemant Rutu,A7.0,Anaha,,,2,,2,2,,
05 Hemant Rutu,A7A.0,Anidra,,,,,2,1,3,
05 Hemant Rutu,A8.0,Apasmaara,,,1,3,,4,2,
05 Hemant Rutu,A9.0,Arbuda,,,1,3,,2,3,
05 Hemant Rutu,A9.2,Arbuda - Maamsaja,,,,,2,,,
05 Hemant Rutu,A9.3,Arbuda - Medoja Arbuda,,,,,1,,,
05 Hemant Rutu,Anidra,A7A.0,,,,1,,1,2,
05 Hemant Rutu,B1.0,Baala Roga,,,,1,1,,,
05 Hemant Rutu,B1.3,Baala Roga -  Galashundika,,,,1,,,,
05 Hemant Rutu,B1.34,Baala Roga - Krimi Roga,,,,,,1,,
05 Hemant Rutu,B1.40,Baala Roga - Udarashoola,,,1,,,,,
05 Hemant Rutu,B1.9,Baala Roga -  Samvardana Vikara,,,2,1,,1,2,
05 Hemant Rutu,B2.0,Bhagandara,,,,1,,2,3,
05 Hemant Rutu,B2.1,Bhagandara - Arsho Bhagandara,,,,,,1,,
05 Hemant Rutu,B2.3,Bhagandara - Parisraavee,,,,,,1,,
05 Hemant Rutu,B3.0,Bhagna,,1,2,2,8,3,11,
05 Hemant Rutu,B3.2.0,Bhagna - Sandhimukta Bhagna,,,1,,,,,
05 Hemant Rutu,B5,Bhrama,,,3,2,3,4,6,
05 Hemant Rutu,C1.0,Chhardi,,,,,,,1,
05 Hemant Rutu,D0.0,Daaha,,,,1,1,,,
05 Hemant Rutu,D0.11,Daaha - Sthaanabhedena - Tvak Daaha,,,,,1,,,
05 Hemant Rutu,D0.8,Daaha - Sthaanabhedena - Paada Daaha,,,,,,,1,
05 Hemant Rutu,D1.0,Dourbalya,1,,1,3,3,6,3,
05 Hemant Rutu,G1.6,Garbhapoorva Paricharya,,,,,,,1,
05 Hemant Rutu,G10.0,Guda Roga,,1,1,,,1,,
05 Hemant Rutu,G13.0,Gulma,,,1,2,2,1,1,
05 Hemant Rutu,G3.0,Garbhapata,,,,,,1,,
05 Hemant Rutu,G6.0,Garbhini,,,,1,1,3,1,
05 Hemant Rutu,G8.0,Grahanee,,,2,3,2,4,1,
05 Hemant Rutu,G9.0,Granthi,,,,,,3,1,
05 Hemant Rutu,G9.1,Granthi - Asthi Granthi,,,,,,1,,
05 Hemant Rutu,G9.10,Granthi (Garbhashaya),,,2,,,,,
05 Hemant Rutu,G9.3,Granthi - Maamsaja Granthi,,,,,1,,,
05 Hemant Rutu,G9.4,Granthi - Medoja Granthi,,,,1,2,1,1,
05 Hemant Rutu,G9.6,Granthi - Raktaja Granthi,,,,1,,,,
05 Hemant Rutu,G9.7,Granthi - Siraa Granthi,,,2,6,13,12,13,
05 Hemant Rutu,G9.9,Granthi - Vranaja Granthi,,,,1,1,,,
05 Hemant Rutu,H1.0,Hikkaa,,,,,1,,,
05 Hemant Rutu,H2.0,Hridroga,,,2,7,4,9,4,
05 Hemant Rutu,H2.3,Hridroga - Pittaja Hridroga,,,,1,,,,
05 Hemant Rutu,J1.0,Jwara,,,4,2,1,8,7,
05 Hemant Rutu,J1.1,Jvara- kapha,,,,1,,1,,
05 Hemant Rutu,J1.2,Jvara- pitta,,,,1,,,,
05 Hemant Rutu,J1.5,Jvara-vata,,,,1,,,,
05 Hemant Rutu,J1.6,Jvara-vishama,,,,1,,1,,
05 Hemant Rutu,K1.0,Kaamalaa,,,1,3,,2,1,
05 Hemant Rutu,K10.10,Kshudra Roga - Charmakeela,,,1,,1,,,
05 Hemant Rutu,K10.15,Kshudra Roga - Indralupta,,,,,1,,,
05 Hemant Rutu,K10.23,Kshudra Roga - Kadara,,,1,,,,,
05 Hemant Rutu,K10.27,Kshudra Roga - Kotha,,,1,,,,,
05 Hemant Rutu,K10.28,Kshudra Roga - Kunakha,,,3,1,,1,,
05 Hemant Rutu,K10.29,Kshudra Roga - Khalitya,,,2,2,3,3,3,
05 Hemant Rutu,K10.32,Kshudra Roga - Mukhadooshikaa,,,,,1,,,
05 Hemant Rutu,K10.38,Kshudra Roga - Parivartikaa,,,1,,,,,
05 Hemant Rutu,K10.38A,Kshudra Roga - Parikartikaa,,,,3,8,7,4,
05 Hemant Rutu,K10.52.8,Kshudra Roga - Vaatakantaka,,,,,2,3,2,
05 Hemant Rutu,K2.0,Kaasa,,,7,9,28,23,13,
05 Hemant Rutu,K2.1,Kaasa- kapha,,,1,1,,,2,
05 Hemant Rutu,K2.2,Kaasa- kshataja,,,,,,1,,
05 Hemant Rutu,K2.5,Kaasa- vata,,,1,,2,1,1,
05 Hemant Rutu,K3.0,Kandoo,,,1,,3,1,5,
05 Hemant Rutu,K3.1,Kandoo - Guda Kandoo,1,,,1,,,,
05 Hemant Rutu,K4.0,Karna Roga,,,,2,4,1,2,
05 Hemant Rutu,K4.1,Karna Roga - Karna   Pooyasraava,,,,1,,,1,
05 Hemant Rutu,K4.10,Karna Roga - Karnabaadhirya - Kaphaanubandha,,,,,,1,2,
05 Hemant Rutu,K4.11,Karna Roga - Karnabaadhirya - Shuddha Vaataja,,,,,,1,,
05 Hemant Rutu,K4.12,Karna Roga - Karnagoothaka,,,,1,,2,1,
05 Hemant Rutu,K4.13,Karna Roga - Karnakandoo,,,,,,1,,
05 Hemant Rutu,K4.14,Karna Roga - Karnakshveda,,,,1,1,1,1,
05 Hemant Rutu,K4.19,Karna Roga - Karnashoola,,,,,,,1,
05 Hemant Rutu,K4.20,Karna Roga - Karnashopha,,,,,,,1,
05 Hemant Rutu,K4.24,Karna Roga - Pootikarnaka,,,,1,,,,
05 Hemant Rutu,K4.9,Karna Roga - Karnabaadhirya,,,1,3,1,,,
05 Hemant Rutu,K6.0,Klaibya,,,,1,,,,
05 Hemant Rutu,K7.0,Klama,,,,,1,2,2,
05 Hemant Rutu,K9.0,Kshudra Roga,,,9,5,7,18,4,
05 Hemant Rutu,K9.1,Kshudra Roga - Agnirohinee,,,,,,1,,
05 Hemant Rutu,K9.4,Kshudra Roga - Alajee,,,,,,1,,
05 Hemant Rutu,K9.5,Kshudra Roga - Alasa,,,1,,,,,
05 Hemant Rutu,M1.0,Madaatyaya - Paramada,,,,,,2,,
05 Hemant Rutu,M10.0,Medoroga,,,2,17,1,6,4,
05 Hemant Rutu,M10.1,Medoroga - Sthula medho roga,,,27,53,16,21,17,
05 Hemant Rutu,M10.2,Medoroga - Sukshma medho roga,,,1,1,19,11,9,
05 Hemant Rutu,M12.0,Mootra Dosha,,,1,1,1,,1,
05 Hemant Rutu,M13.0,Mootra Roga,,,2,2,4,4,5,
05 Hemant Rutu,M14.14,Mootra Roga - Mootraaghaata - Ushnavaata,,,,,1,,,
05 Hemant Rutu,M14.5,Mootra Roga - Mootraaghaata - Mootragranthi,,,,,,1,,
05 Hemant Rutu,M16.0,Mootra Roga - Mootrakrichchhra,,,,3,,4,3,
05 Hemant Rutu,M16.2,Mootra Roga - Mootrakrichchhra - Kaphaja,,,,,1,,,
05 Hemant Rutu,M16.9,Mootra Roga - Mootrakrichchhra - Vaataja Mootrakrichchhra,,,,,,1,,
05 Hemant Rutu,M18.0,Mukha Roga  - Mukha Shosha,,,,1,,1,,
05 Hemant Rutu,M18.10.3,Mukha Roga - Dantamoolagata Roga - Dantapupputa,,,,,,1,,
05 Hemant Rutu,M18.11.0,Mukha Roga - Galagata Roga,,,,1,1,3,1,
05 Hemant Rutu,M18.11.10,Mukha Roga - Galagata Roga - Gandamaalaa,,,,1,,,,
05 Hemant Rutu,M18.11.2,Mukha Roga - Galagata Roga - Galaganda,,,,2,3,5,9,
05 Hemant Rutu,M18.11.4,Mukha Roga - Galagata Roga - Galapaaka,,,,,,1,,
05 Hemant Rutu,M18.11.8,Mukha Roga - Galagata Roga - Shaalooka,,,,1,,,,
05 Hemant Rutu,M18.11.9,Mukha Roga - Galagata Roga - Tundikeree,,,1,,,1,,
05 Hemant Rutu,M18.13.2,Mukha Roga - Jihvaagata Roga  - Jihvaa Paaka,,,,,,1,,
05 Hemant Rutu,M18.14.0,Mukha Roga - Kanthagata Roga,,,,,4,1,1,
05 Hemant Rutu,M18.15.0,Mukha Roga - Kaphaja,,,,,1,,,
05 Hemant Rutu,M18.3,Mukha Roga  - Mukhadaaha,,,,1,,,,
05 Hemant Rutu,M18.9.0,Mukha Roga - Dantagata Roga,,,1,1,,,,
05 Hemant Rutu,M18.9.15,Mukha Roga - Dantagata Roga - Dantaharsha,,,,,,,1,
05 Hemant Rutu,M18.9.2,Mukha Roga - Dantagata Roga  - Danta Maamsa Kandoo,,,,,,1,,
05 Hemant Rutu,M18.9.21,Mukha Roga - Dantagata Roga - Krimidanta,,,,1,,,,
05 Hemant Rutu,M18.9.25,Mukha Roga - Dantagata Roga - Sheetadanta,,,,,,,2,
05 Hemant Rutu,M18.9.3,Mukha Roga - Dantagata Roga  - Danta Maamsa Paaka,,,,,2,,,
05 Hemant Rutu,M18.9.5,Mukha Roga - Dantagata Roga  - Danta Maamsa Sraava,,,,1,,,,
05 Hemant Rutu,M2.0,Madhumeha,,,7,17,98,151,172,
05 Hemant Rutu,M5.0,Maanasa Roga,,,,,2,2,3,
05 Hemant Rutu,M5.1,Maanasa Roga - Vishada,,,1,1,1,4,,
05 Hemant Rutu,M5.2,Maanasa Roga - Glaani,,,,,1,,,
05 Hemant Rutu,M5.3,Smriti Bhrmsha,,,,,,2,,
05 Hemant Rutu,M6.0,Marma Viddha,,,,2,1,2,2,
05 Hemant Rutu,M6.1,Marma Viddha - Aani Viddha,,,,,1,,,
05 Hemant Rutu,M6.13,Marma Viddha - Gulpha Viddha,,,,,,,1,
05 Hemant Rutu,M6.16,Marma Viddha - Jaanu Viddha,,,,1,,,1,
05 Hemant Rutu,M6.25,Marma Viddha - Kukundara Viddha,,,,,,,1,
05 Hemant Rutu,M6.27,Marma Viddha - Maamsa Viddha,,,,,3,,1,
05 Hemant Rutu,M6.29,Marma Viddha - Manibandha Viddha,,,,,,1,,
05 Hemant Rutu,M6.3,Marma Viddha - Amsa Viddha,,,,,1,,,
05 Hemant Rutu,M6.38,Marma Viddha - Sandhi Viddha,,,,1,1,1,1,
05 Hemant Rutu,M6.43,Marma Viddha - Snaayu Viddha,,,,2,6,2,,
05 Hemant Rutu,M6.8,Marma Viddha - Asthimarma Viddha,,,,,1,,2,
05 Hemant Rutu,M7.1,Masanumasika Ashtama,,,,1,,,,
05 Hemant Rutu,M7.3,Masanumasika Dviteeya,,,,2,,,,
05 Hemant Rutu,M9.0,Medhra Roga,,,,1,,,,
05 Hemant Rutu,MS G1.0,Greeva Graha,,,17,30,27,36,42,
05 Hemant Rutu,MS M1.0,Mutrashteela,,,1,,1,4,6,
05 Hemant Rutu,MS R1,Raktachapa,,,3,4,9,10,12,
05 Hemant Rutu,MS T1.0,Twak Vivarnya,,,1,2,3,3,1,
05 Hemant Rutu,N1.0,Naadee Vrana,,,,1,,1,,
05 Hemant Rutu,N2.1,Naasaa Roga -  Naasaavarodha,,,,1,,,1,
05 Hemant Rutu,N2.12,Naasaa Roga - Naasaanaaha,,,,,,1,,
05 Hemant Rutu,N2.18,Naasaa Roga - Peenasa,,,2,9,9,7,9,
05 Hemant Rutu,N2.21.0,Naasaa Roga - Pratishyaaya,,,4,7,6,6,3,
05 Hemant Rutu,N2.21.1,Naasaa Roga - Pratishyaaya - Dushta Pratishyaaya,,,1,1,3,1,,
05 Hemant Rutu,N2.21.2,Naasaa Roga - Pratishyaaya - Kaphaja Pratishyaaya,,,1,,,1,1,
05 Hemant Rutu,N2.21.3,Naasaa Roga - Pratishyaaya - Pittaja Pratishyaaya,,,1,,,,,
05 Hemant Rutu,N2.21.7,Naasaa Roga - Pratishyaaya - Vaataja Pratishyaaya,,,,1,,2,,
05 Hemant Rutu,N2.6,Naasaa Roga - Deepta,,,,,1,,,
05 Hemant Rutu,N4.0,Netra Roga,,,4,16,4,18,21,
05 Hemant Rutu,N4.10,Netra Roga - Gharsha,,,,,,,1,
05 Hemant Rutu,N4.12,Netra Roga - Kandoo,,,,,1,,2,
05 Hemant Rutu,N4.13,Netra Roga - Kaphaja Linganaasha Shastrakarma Pashchaat,,,,,,1,,
05 Hemant Rutu,N4.19,Netra Roga - Netra Daaha,,,,,,1,,
05 Hemant Rutu,N4.25,Netra Roga - Netra Sraava,,,,,,,1,
05 Hemant Rutu,N4.35,Netra Roga - Triteeya Patalagata Timira,,,,,,,7,
05 Hemant Rutu,N4.38,Netra Roga - Vaataja Abhishyanda + Shoola,,,,,,1,,
05 Hemant Rutu,N4.40.0,Netra Roga - Drishtigata,,,,,,2,,
05 Hemant Rutu,N4.40.16.0,Netra Roga - Drishtigata - Linganaasha,,,,,1,,1,
05 Hemant Rutu,N4.40.20.0,Netra Roga - Drishtigata - Timira,,,,,,5,,
05 Hemant Rutu,N4.40.20.1,Netra Roga - Drishtigata - Timira - Kaphaja Timira,,,,,1,2,2,
05 Hemant Rutu,N4.40.6,Netra Roga - Drishtigata - Gambheera Drishti,,,,,,1,,
05 Hemant Rutu,N4.40.8,Netra Roga - Drishtigata - Kaacha Roga,,,,,1,,,
05 Hemant Rutu,N4.40.9,Netra Roga - Drishtigata - Kaacha Roga - Kaphaja,,,,,,1,,
05 Hemant Rutu,N4.42.0,Netra Roga - Krishnagata,,,,,,1,,
05 Hemant Rutu,N4.42.2.1,Netra Roga - Krishnagata - Shukra Netra Roga - Avrana Shukra,,,,,,1,,
05 Hemant Rutu,N4.44,Netra Roga - Pittaja,,,,,1,,,
05 Hemant Rutu,N4.46.2.0,Netra Roga - Shuklagata - Arma,,,,2,,,,
05 Hemant Rutu,N4.46.2.2,Netra Roga - Shuklagata - Arma - Lohitaarma,,,,,,1,,
05 Hemant Rutu,N4.46.2.3,Netra Roga - Shuklagata - Arma - Prastaari Arma,,,,,,1,1,
05 Hemant Rutu,N4.47.7,Netra Roga - Shuklagata - Siraaja Pidakaa,,,,,,,1,
05 Hemant Rutu,N4.49.2,Netra Roga - Sandhigata - Krimigranthi,,,,,,1,,
05 Hemant Rutu,N4.50.1.5,Netra Roga - Sarvagata - Abhishyanda - Vaataja Abhishyanda,,,,,,,3,
05 Hemant Rutu,N4.50.2.0,Netra Roga - Sarvagata - Adhimantha,,,,,1,,1,
05 Hemant Rutu,N4.50.2.1,Netra Roga - Sarvagata - Adhimantha - Kaphaja Adhimantha,,,,,1,,,
05 Hemant Rutu,N4.50.2.4,Netra Roga - Sarvagata - Adhimantha - Vaataja Adhimantha,,,,,1,,,
05 Hemant Rutu,N4.50.9,Netra Roga - Sarvagata - Shushkaakshi Paaka,,,,,,,1,
05 Hemant Rutu,N4.55.31,Netra Roga - Vartmagata - Vaatahata,,,,,,,1,
05 Hemant Rutu,O1.0,Ojavikriti,,,,1,,,,
05 Hemant Rutu,O1.4,Ojavikriti - Ojovisramsa,,,,1,2,2,2,
05 Hemant Rutu,P2.0,Pandu,,,2,1,3,5,1,
05 Hemant Rutu,P3.0,Pidaka,,,,,1,1,,
05 Hemant Rutu,P5.0,Prameha,,,37,91,108,70,66,
05 Hemant Rutu,P5.1,Prameha - Krusha,,,2,,,,,
05 Hemant Rutu,P5.2,Prameha - Pidaka,,,2,,,,,
05 Hemant Rutu,P5.3,Prameha - Sthula,,,7,3,2,,,
05 Hemant Rutu,P5.4,Prameha - Upadrava,,,4,9,7,2,4,
05 Hemant Rutu,P5.5,Pramehajanya - Netraroga,,,2,,1,,,
05 Hemant Rutu,P6.0,Pravaahika,,,,,1,,,
05 Hemant Rutu,R2.0,Raktapitta,,,,,,1,,
05 Hemant Rutu,S0.0,Saamavata,,,,1,2,9,7,
05 Hemant Rutu,S1.0,Sheetapitta,,,1,4,4,4,,
05 Hemant Rutu,S10.14,Stambha - Uru Stambha,,,,,,1,,
05 Hemant Rutu,S10.4,Stambha - Greevaa Stambha,,,,2,1,1,1,
05 Hemant Rutu,S13.0,Sthaanabhedena Graha,,,,1,1,,,
05 Hemant Rutu,S13.1,Sthaanabhedena Graha - Anga Graha,,,,1,,,,
05 Hemant Rutu,S13.11,Sthaanabhedena Graha - Katee Graha,,1,38,47,57,45,44,
05 Hemant Rutu,S13.13,Sthaanabhedena Graha - Manyaa Graha,,,1,1,,,,
05 Hemant Rutu,S13.14,Sthaanabhedena Graha - Marma Graha,,,,,1,,,
05 Hemant Rutu,S13.18,Sthaanabhedena Graha - Paarshva Graha,,,,,,,1,
05 Hemant Rutu,S13.19,Sthaanabhedena Graha - Prishtha Graha,,,,7,6,9,4,
