season,Code,description,cnt
06 Shishir Rutu,N4.6,Netra Roga - Ashrusraava,2
06 Shishir Rutu,P5.2,Prameha - Pidaka,2
06 Shishir Rutu,S13.1,Sthaanabhedena Graha - Anga Graha,2
06 Shishir Rutu,S14.24,Sthaanabhedena Shoola - Manyaa Shoola,2
06 Shishir Rutu,S14.5,Sthaanabhedena Shoola - Anguli Shoola,2
06 Shishir Rutu,S15.48,Sthaanabhedena Shoola - Urah Shoola,2
06 Shishir Rutu,S16.12,Stree Roga - Yonigata Sraava,2
06 Shishir Rutu,S16.20.8,STREEROGA - RAJONIVRITHI VIKARA,2
06 Shishir Rutu,S16.3,Stree Roga - Anaartava,2
06 Shishir Rutu,S16.30.13,Stree Roga - Yonivyaapad - Pariplutaa,2
06 Shishir Rutu,S2.0,Shiroroga,2
06 Shishir Rutu,S2.15.5,Shirorog - Kapaalagata Shiroroga - Paalitya,2
06 Shishir Rutu,S2.4,Shiroroga - Shankha Shoola,2
06 Shishir Rutu,U2.0,Udara,2
06 Shishir Rutu,U3.0,Udarda,2
06 Shishir Rutu,U4.7,Unmaada - Manokhedaja,2
06 Shishir Rutu,V1.3,Vaatarakta - Kapha Vaataja,2
06 Shishir Rutu,V10.11,Vatavyadhi - Avrita Vata - Mamsavrita Vata,2
06 Shishir Rutu,V15.0,Vriddhi,2
06 Shishir Rutu,V2.31,Vaatavyaadhi - Janghaagata Vaata,2
06 Shishir Rutu,V2.38,Vaatavyaadhi - Khanja,2
06 Shishir Rutu,V2.40,Vaatavyaadhi - Kroshtukasheersha,2
06 Shishir Rutu,V2.46,Vaatavyaadhi - Manyaagata Vaata,2
06 Shishir Rutu,V2.7,Vaatavyaadhi - Ardita,2
06 Shishir Rutu,Y8.10,Yonivyaapad - Karninee,2
06 Shishir Rutu,k12.16,Kushtha-vicharchika,2
06 Shishir Rutu,k12.6,Kushtha-ekakushta,2
06 Shishir Rutu,k8.0,Kshaya,2
06 Shishir Rutu,A11.1,Arsha - Charmakeela,1
06 Shishir Rutu,A11.10,Arsha - Raktaja Arsha,1
06 Shishir Rutu,A11.9,Arsha - Pittaja Arsha,1
06 Shishir Rutu,A12.3,Artava Vyapad - Kaphaja,1
06 Shishir Rutu,A12.4,Artava Vyapad - Ksheenartava,1
06 Shishir Rutu,A16.2,Atisaara- pitta,1
06 Shishir Rutu,A2.2,Aamavaata - Pittaja,1
06 Shishir Rutu,A4.0,Agnimaandya,1
06 Shishir Rutu,A5.2,Ajeerna-Amajeerna,1
06 Shishir Rutu,A6.1,Amlapitta-Adhoga,1
06 Shishir Rutu,A9.2,Arbuda - Maamsaja,1
06 Shishir Rutu,B2.1,Bhagandara - Arsho Bhagandara,1
06 Shishir Rutu,B4,Bhasmaka,1
06 Shishir Rutu,D0.10,Daaha - Sthaanabhedena - Sarvaanga Daaha,1
06 Shishir Rutu,D0.8,Daaha - Sthaanabhedena - Paada Daaha,1
06 Shishir Rutu,G3.0,Garbhapata,1
06 Shishir Rutu,G8.2,Grahanee-pittaj,1
06 Shishir Rutu,G8.5,Grahanee-Vataj,1
06 Shishir Rutu,G9.10,Granthi (Garbhashaya),1
06 Shishir Rutu,G9.6,Granthi - Raktaja Granthi,1
06 Shishir Rutu,K10.11,Kshudra Roga - Chippa,1
06 Shishir Rutu,K10.23,Kshudra Roga - Kadara,1
06 Shishir Rutu,K10.34,Kshudra Roga - Niruddhaprakasha,1
06 Shishir Rutu,K10.36,Kshudra Roga - Paadadaarikaa,1
06 Shishir Rutu,K10.46.0,Kshudra Roga - Valmeeka,1
06 Shishir Rutu,K10.8,Kshudra Roga - Arumshikaa,1
06 Shishir Rutu,K2.2,Kaasa- kshataja,1
06 Shishir Rutu,K2.4,Kaasa- pitta,1
06 Shishir Rutu,K3.1,Kandoo - Guda Kandoo,1
06 Shishir Rutu,K4.20,Karna Roga - Karnashopha,1
06 Shishir Rutu,K4.21,Karna Roga - Karnasraava,1
06 Shishir Rutu,K6.2,Klaibya - Beejopaghaataja,1
06 Shishir Rutu,K6.4,Klaibya - Dvajabhangaja,1
06 Shishir Rutu,K7a.0,Kotha,1
06 Shishir Rutu,K9.5,Kshudra Roga - Alasa,1
06 Shishir Rutu,M1.0,Madaatyaya - Paramada,1
06 Shishir Rutu,M1.6,Madaatyaya - Vikshaya,1
06 Shishir Rutu,M12.0,Mootra Dosha,1
06 Shishir Rutu,M14.16,Mootra Roga - Mootraaghaata - Vaatabasti,1
06 Shishir Rutu,M18.0,Mukha Roga  - Mukha Shosha,1
06 Shishir Rutu,M18.10.0,Mukha Roga - Dantamoolagata Roga,1
06 Shishir Rutu,M18.10.3,Mukha Roga - Dantamoolagata Roga - Dantapupputa,1
06 Shishir Rutu,M18.11.9,Mukha Roga - Galagata Roga - Tundikeree,1
06 Shishir Rutu,M18.14.11,Mukha Roga - Kanthagata Roga - Galavidradhi,1
06 Shishir Rutu,M18.15.0,Mukha Roga - Kaphaja,1
06 Shishir Rutu,M18.9.0,Mukha Roga - Dantagata Roga,1
06 Shishir Rutu,M18.9.2,Mukha Roga - Dantagata Roga  - Danta Maamsa Kandoo,1
06 Shishir Rutu,M18.9.3,Mukha Roga - Dantagata Roga  - Danta Maamsa Paaka,1
06 Shishir Rutu,M18.9.5,Mukha Roga - Dantagata Roga  - Danta Maamsa Sraava,1
06 Shishir Rutu,M18.9.6,Mukha Roga - Dantagata Roga  - Danta Shoola,1
06 Shishir Rutu,M5.2,Maanasa Roga - Glaani,1
06 Shishir Rutu,M6.25,Marma Viddha - Kukundara Viddha,1
06 Shishir Rutu,M6.38,Marma Viddha - Sandhi Viddha,1
06 Shishir Rutu,M9.0,Medhra Roga,1
06 Shishir Rutu,N4.11,Netra Roga - Jaadya,1
06 Shishir Rutu,N4.27,Netra Roga - Paichchhilya,1
06 Shishir Rutu,N4.30,Netra Roga - Sashopha Akshipaaka,1
06 Shishir Rutu,N4.40.14,Netra Roga - Drishtigata - Kaacha Roga - Vaataja,1
06 Shishir Rutu,N4.40.9,Netra Roga - Drishtigata - Kaacha Roga - Kaphaja,1
06 Shishir Rutu,N4.46.2.1,Netra Roga - Shuklagata - Arma - Adhimaamsa Arma,1
06 Shishir Rutu,N4.46.2.4,Netra Roga - Shuklagata - Arma - Shuklaarma,1
06 Shishir Rutu,N4.47.6,Netra Roga - Shuklagata - Siraaharsha,1
06 Shishir Rutu,N4.47.7,Netra Roga - Shuklagata - Siraaja Pidakaa,1
06 Shishir Rutu,N4.50.0,Netra Roga - Sarvagata,1
06 Shishir Rutu,N4.50.10,Netra Roga - Sarvagata - Sashopha Akshipaaka,1
06 Shishir Rutu,N4.50.8,Netra Roga - Sarvagata - Hataadhimantha,1
06 Shishir Rutu,N4.51.0,Netra Roga - Vaataja,1
06 Shishir Rutu,N4.54.15,Netra Roga - Vartmagata - Nimesha,1
06 Shishir Rutu,N5.0,Nidra Viparyaya / Nidra Bhanga,1
06 Shishir Rutu,O1.0,Ojavikriti,1
06 Shishir Rutu,O1.3,Ojavikriti - Ojaksheenataa,1
06 Shishir Rutu,P6.0,Pravaahika,1
06 Shishir Rutu,R2.0,Raktapitta,1
06 Shishir Rutu,S10.14,Stambha - Uru Stambha,1
06 Shishir Rutu,S10.6,Stambha - Hridaya Stambha,1
06 Shishir Rutu,S13.17,Sthaanabhedena Graha - Paada Graha,1
06 Shishir Rutu,S13.22,Sthaanabhedena Graha - Uro Graha,1
06 Shishir Rutu,S13.5,Sthaanabhedena Graha - Hanu Graha,1
06 Shishir Rutu,S14.15,Sthaanabhedena Shoola - Hasta Shoola,1
06 Shishir Rutu,S14.19,Sthaanabhedena Shoola - Kantha Shoola,1
06 Shishir Rutu,S14.22,Sthaanabhedena Shoola - Koshtha Shoola,1
06 Shishir Rutu,S15.41,Sthaanabhedena Shoola - Sakthi Shoola,1
06 Shishir Rutu,S15.44,Sthaanabhedena Shoola - Snaayu Shoola,1
06 Shishir Rutu,S15.46,Sthaanabhedena Shoola - Stanaanta Shoola,1
06 Shishir Rutu,S15.50.0,Sthaanabhedena Shoola - Vrishana Shoola,1
06 Shishir Rutu,S16.19.0,Stree Roga - Rajo Dushti,1
06 Shishir Rutu,S16.2,Stree Roga - Aartavanaasha,1
06 Shishir Rutu,S16.21.4,STREEROGA - SOOTIKAA PARICHARYA,1
06 Shishir Rutu,S16.22,Stree Roga - Stana Roga,1
06 Shishir Rutu,S16.29.1,Stree Roga - Yoni Kandoo,1
06 Shishir Rutu,S16.30.10,Stree Roga - Yonivyaapad - Karninee,1
06 Shishir Rutu,S16.30.15,Stree Roga - Yonivyaapad - Pittalaa,1
06 Shishir Rutu,S2.13,Shiroroga - Anantavaata,1
06 Shishir Rutu,S2.15.2,Shiroroga - Kapaalagata Shiroroga - Daarunaka,1
06 Shishir Rutu,S2.5,Shiroroga - Shira Abhihata,1
06 Shishir Rutu,S2.7,Shiroroga - Shira Supti,1
06 Shishir Rutu,S3.1,Shotha - Vaatapittaja,1
06 Shishir Rutu,S4.2,Shvaasa-kshudra shvasa,1
06 Shishir Rutu,S9.0,Somaroga,1
06 Shishir Rutu,U2.6,Udara-jalodara,1
06 Shishir Rutu,V.10,Vatavyadhi - Avrita Vata,1
06 Shishir Rutu,V1.4,Vaatarakta - Kaphaadhika Vaatarakta,1
06 Shishir Rutu,V1.9,Vaatarakta - Vaataadhika Vaatarakta,1
06 Shishir Rutu,V10.8,Vatavyadhi - Avrita Vata - Kapha avrita Vata,1
06 Shishir Rutu,V11.8,Vatavyadhi - Gatatva  - Sarvangagata Vata,1
06 Shishir Rutu,V13.1.0,Vrana - Aagantuja (Sadyo) Vrana,1
06 Shishir Rutu,V13.1.3,Vrana - Aagantuja (Sadyo) Vrana - Dagdha Vrana,1
06 Shishir Rutu,V13.4,Vrana - Jeerna Vrana,1
06 Shishir Rutu,V15.1,Vriddhi - Aantraja,1
06 Shishir Rutu,V2.21,Vaatavyaadhi - Ekaangavaata,1
06 Shishir Rutu,V2.3.0,Vaatavyaadhi - Aakshepaka,1
06 Shishir Rutu,V2.3.1,Vaatavyaadhi - Aakshepaka - Abhighaataja,1
06 Shishir Rutu,V2.34.1,Vaatavyaadhi - Kampa - Baahu Kampa,1
06 Shishir Rutu,V2.4.1,Vaatavyaadhi - Aavritavaata - Kaphaavrita Vaata,1
06 Shishir Rutu,V2.43,Vaatavyaadhi - Maamsamedogata Vaata,1
06 Shishir Rutu,V2.44,Vaatavyaadhi - Majjaagata Vaata,1
06 Shishir Rutu,V2.57,Vaatavyaadhi - Pangutva,1
06 Shishir Rutu,V2.62,Vaatavyaadhi - Raktagata Vaata,1
06 Shishir Rutu,V3.3,VANDHYATWA - ANAPATYA,1
06 Shishir Rutu,V6.3,Vidradhi - Baahya,1
06 Shishir Rutu,Y8.13,Yonivyaapad - Pariplutaa,1
06 Shishir Rutu,Y8.14,Yonivyaapad - Phalinee / Andalee,1
06 Shishir Rutu,Y8.28,Yonivyaapad - Viplutaa,1
06 Shishir Rutu,Y9.0,Yuvana pidika,1
06 Shishir Rutu,k12.1,Kushtha-alasaka,1
06 Shishir Rutu,k12.3,Kushtha-charmadala,1
06 Shishir Rutu,k12.4,Kushtha-charmakhya,1
